,abs_val_diff,flow-rate,total-volume-consumption
1957,0.0,0.0,42.38807678222656
2743,0.0,0.0,43.55751037597656
471,0.0,0.0,39.0390739440918
5050,0.0,0.0,47.25226211547852
3251,0.0,0.0,43.574405670166016
3048,0.0,0.0,43.55751037597656
1225,0.00564193725585227,0.3787627518177033,40.79326248168945
4924,0.0,0.0,47.25226211547852
5403,0.0,0.0,47.88615036010742
3241,0.0,0.0,43.574405670166016
658,0.0,0.0,39.224029541015625
54,0.0,0.0,38.933509826660156
2420,0.0,0.0,43.49474716186523
2898,0.0,0.0,43.55751037597656
5772,0.0,0.0,47.9422721862793
945,0.0,0.0,39.725242614746094
3837,0.0,0.0,44.670997619628906
2173,0.0,0.0,43.433189392089844
1903,0.0,0.0,42.37995910644531
5309,0.0038757324218678946,0.3715139031410217,47.79476547241211
4877,0.0,0.0,47.23804092407226
245,0.0,0.0,39.02373123168945
1373,0.00592803955078125,0.0,41.11859130859375
2133,0.000682830810546875,0.0,43.22691345214844
6677,0.0,0.0,48.00743103027344
1167,0.006252288818359375,0.0,40.34165954589844
715,0.00093841552734375,0.6925634145736694,39.42996597290039
283,9.536743164773043e-05,0.15835441648960116,33.038028717041016
121,0.0,0.0,38.964210510253906
4683,0.0,0.0,46.49748992919922
1484,0.0,0.0,41.13765335083008
174,9.1552734375e-05,0.15799546241760254,33.02749252319336
2670,0.0,0.0,43.55751037597656
1829,0.0,0.0,42.36394119262695
4971,0.0,0.0,47.25226211547852
6040,0.0,0.0,47.9422721862793
2518,0.002532958984375,0.0,43.54827880859375
5318,0.0,0.0,47.82170104980469
4153,0.0,0.0,45.6523666381836
2264,0.0,0.0,43.4674072265625
1273,0.012851715087890625,0.0,41.034912109375
2195,0.0,0.0,43.45274353027344
87,0.0,0.0,38.964210510253906
1663,0.017791748046882105,0.0,41.93474960327149
1070,0.0,0.0,39.8087158203125
4538,0.0,0.0,46.48519134521485
5148,0.0,0.0,47.30324172973633
2150,0.0028533935546875,0.0,43.30718994140625
937,0.0,0.0,39.725242614746094
6795,0.0,0.0,48.00743103027344
2591,0.0,0.0,43.55285263061523
416,0.00030136108399148043,0.4890402853488922,33.06018447875977
4290,0.0,0.0,45.66696548461914
1309,0.0,0.0,41.096099853515625
530,0.002666473388671875,0.41472959518432617,39.056114196777344
5540,0.0,0.0,47.88615036010742
3261,0.0,0.0,43.574405670166016
5491,0.0,0.0,47.88615036010742
2594,0.0,0.0,43.55285263061523
3336,0.0,0.0,43.598228454589844
5120,0.0,0.0,47.28052520751953
1799,0.0,0.0,42.35476684570313
2309,0.0,0.0,43.47532272338867
4633,0.0,0.0,46.49024963378906
73,0.000537872314453125,0.0,38.945289611816406
5261,0.0,0.0,47.5723876953125
2403,0.0,0.0,43.49474716186523
3328,0.0,0.0,43.598228454589844
1502,0.0,0.0,41.15949249267578
6940,0.0,0.0,48.00743103027344
2740,0.0,0.0,43.55751037597656
327,9.5367431640625e-05,0.1566649228334427,33.042293548583984
555,0.0,0.0,39.075355529785156
2603,0.0,0.0,43.55751037597656
5350,0.0,0.0,47.87165451049805
4652,0.0,0.0,46.49024963378906
1510,0.0,0.0,41.16115951538086
2394,0.0,0.0,43.49474716186523
1532,0.0,0.0,41.20722961425781
807,0.0,0.0,39.70039749145508
6157,0.0,0.0,47.9422721862793
2266,0.0018959045410227304,0.0,43.46930313110352
2250,0.0,0.0,43.4674072265625
5563,0.0,0.0,47.89325714111328
1241,0.004306793212890625,0.0,40.86106872558594
393,0.0,0.0,39.0390739440918
365,0.0,0.0,39.03721618652344
4113,0.0,0.0,45.6523666381836
3325,0.0,0.0,43.598228454589844
3063,0.0,0.0,43.55751037597656
2972,0.0,0.0,43.55751037597656
3641,0.0,0.0,44.62002944946289
845,0.0,0.0,39.71106338500977
2304,0.0,0.0,43.47532272338867
3395,0.002849578857421875,0.0,43.69845199584961
2502,0.0,0.0,43.51878356933594
6553,0.0,0.0,47.96390914916992
1617,0.004428863525390625,0.5443649291992188,41.64960479736328
6212,0.0,0.0,47.9422721862793
5964,0.0,0.0,47.9422721862793
5303,0.00865554809571023,0.4066675901412964,47.76914978027344
5275,0.01539993286133523,0.0,47.65548706054688
1642,0.006664276123046875,0.0,41.79124069213867
4870,0.002719879150390625,0.0,47.21384811401367
1139,0.009006500244140625,0.1583212912082672,40.13312911987305
6331,0.0,0.0,47.9422721862793
5020,0.0,0.0,47.25226211547852
406,0.0,0.0,39.0390739440918
4964,0.0,0.0,47.25226211547852
3882,0.002681732177734375,0.5025495886802673,44.7747917175293
3246,0.0,0.0,43.574405670166016
2748,0.0,0.0,43.55751037597656
1630,0.019901275634765625,0.0,41.70722579956055
3060,0.0,0.0,43.55751037597656
244,9.918212890625e-05,0.15661358833312988,33.03428268432617
398,0.00029754638671875,0.4882723391056061,33.0548095703125
2661,0.0,0.0,43.55751037597656
6788,0.0,0.0,48.00743103027344
1973,0.0,0.0,42.40266418457031
1704,0.00463485717772727,0.0,42.14509963989258
101,0.0,0.0,38.964210510253906
5470,0.0,0.0,47.88615036010742
6281,0.0,0.0,47.9422721862793
4578,0.0,0.0,46.49024963378906
4226,0.0,0.0,45.6523666381836
4264,0.0,0.0,45.6523666381836
6779,0.0,0.0,48.00743103027344
645,0.00025177001953125,0.4542340040206909,39.180965423583984
1269,0.0012130737304616446,0.0,41.01423645019531
6106,0.0,0.0,47.9422721862793
6631,0.0,0.0,48.00556564331055
5636,0.0,0.0,47.910865783691406
1768,0.00033569335936789457,0.0,42.33868408203125
4073,0.0046844482421875,0.0,45.63255310058594
6464,0.0,0.0,47.94482803344727
3252,0.0,0.0,43.574405670166016
6381,0.0,0.0,47.9422721862793
6143,0.0,0.0,47.9422721862793
4594,0.0,0.0,46.49024963378906
7060,0.0,0.0,48.0217399597168
6963,0.0,0.0,48.00743103027344
132,0.0,0.0,38.98218536376953
4152,0.0,0.0,45.6523666381836
4205,0.0,0.0,45.6523666381836
4300,0.00654220581055398,0.0,45.6778793334961
6274,0.0,0.0,47.9422721862793
310,9.5367431640625e-05,0.15820083022117615,33.0406494140625
6574,0.0,0.0,47.96512985229492
6073,0.0,0.0,47.9422721862793
4608,0.0,0.0,46.49024963378906
2224,0.0,0.0,43.4674072265625
4341,0.0,0.0,45.7845458984375
4179,0.0,0.0,45.6523666381836
2701,0.0,0.0,43.55751037597656
2793,0.0,0.0,43.55751037597656
39,0.0,0.0,38.92754364013672
773,7.62939453125e-06,0.0,39.63836669921875
6627,0.0,0.0,48.00556564331055
1917,0.0,0.0,42.37995910644531
543,0.0,0.0,39.070796966552734
1947,0.0,0.4098824858665466,42.38807678222656
5715,0.0,0.0,47.9422721862793
17,0.00044250488281960543,0.15860962867736814,33.00974273681641
3196,0.0,0.0,43.56131362915039
2802,0.0,0.0,43.55751037597656
3034,0.0,0.0,43.55751037597656
6095,0.0,0.0,47.9422721862793
1576,0.00922393798828125,0.0,41.39795684814453
5709,0.0,0.0,47.9422721862793
3146,0.0,0.0,43.55751037597656
5684,0.0,0.0,47.9422721862793
5440,0.0,0.0,47.88615036010742
7074,0.0,0.0,48.0217399597168
3981,0.00402069091796875,0.0,45.28464889526367
6324,0.0,0.0,47.9422721862793
3199,0.0,0.0,43.56131362915039
564,0.0,0.0,39.07721328735352
4874,0.0036163330078125,0.0,47.22770309448242
1124,0.005653381347663355,0.0,40.04581069946289
4702,0.0,0.0,46.50724792480469
337,0.0,0.0,39.03721618652344
6967,0.0,0.0,48.00743103027344
435,0.00029754638671875,0.489193856716156,33.06588363647461
2460,0.0,0.0,43.50848388671875
1414,0.0,0.0,41.11859130859375
6450,0.0,0.0,47.94482803344727
5494,0.0,0.0,47.88615036010742
6530,0.0,0.0,47.96016311645508
732,0.0,0.0,39.52195358276367
336,9.918212890625e-05,0.15697211027145386,33.04317092895508
4597,0.0,0.0,46.49024963378906
2733,0.0,0.0,43.55751037597656
5344,0.0,0.0,47.8701286315918
881,0.0,0.0,39.714839935302734
1231,0.0046844482421875,0.0,40.83082962036133
535,0.0,0.0,39.070796966552734
1162,0.0025672912597727304,0.0,40.31427383422852
3094,0.0,0.0,43.55751037597656
2756,0.0,0.0,43.55751037597656
5538,0.0,0.0,47.88615036010742
1979,0.0,0.0,42.41542434692383
2478,0.0,0.0,43.514896392822266
3113,0.0,0.0,43.55751037597656
517,0.0,0.0,39.04719543457031
4217,0.0,0.0,45.6523666381836
5184,0.0,0.0,47.37099075317383
6356,0.0,0.0,47.9422721862793
3751,0.0,0.0,44.62753677368164
4147,0.0,0.0,45.6523666381836
4675,0.0,0.0,46.49175643920898
5157,0.000812530517578125,0.0,47.32202911376953
3164,0.0,0.0,43.55940628051758
2716,0.0,0.0,43.55751037597656
2059,0.00176239013671875,0.06800935417413713,42.82255554199219
396,0.0,0.0,39.0390739440918
126,9.918212890625e-05,0.15630649030208588,33.022857666015625
1288,0.0,0.0,41.06644058227539
483,0.000202178955078125,0.333604097366333,33.07754135131836
4856,0.0,0.0,47.18994522094727
3077,0.0,0.0,43.55751037597656
2101,0.00922393798828125,0.0,43.02851867675781
3620,0.0,0.0,44.60600662231445
5634,0.0,0.41706040501594543,47.910865783691406
3012,0.0,0.0,43.55751037597656
404,0.000301361083984375,0.4885795712471008,33.056602478027344
196,9.536743163351957e-05,0.15738129615783691,33.02962112426758
3317,0.0,0.0,43.58955383300781
3990,0.00855255126953125,0.3793973326683045,45.33909225463867
107,0.0,0.0,38.964210510253906
2324,0.0,0.0,43.47532272338867
5438,0.0,0.0,47.88615036010742
4668,0.0,0.0,46.49175643920898
6730,0.0,0.0,48.00743103027344
5764,0.0,0.0,47.9422721862793
6020,0.0,0.0,47.9422721862793
7083,0.0,0.0,48.0217399597168
2270,0.0,0.0,43.46930313110352
48,9.5367431640625e-05,0.15814897418022156,33.01531219482422
3096,0.0,0.0,43.55751037597656
238,9.5367431640625e-05,0.15753482282161713,33.033695220947266
2006,0.0,0.0,42.45331573486328
219,9.5367431640625e-05,0.15876318514347074,33.031856536865234
1638,0.0,0.14126600325107574,41.7650032043457
1754,0.00405120849609375,0.41005516052246094,42.322025299072266
4634,0.0,0.0,46.49024963378906
5198,0.0,0.0,47.40924453735352
3440,0.0,0.0,43.80997085571289
2766,0.0,0.0,43.55751037597656
1,0.0,0.0,38.9139518737793
5471,0.0,0.0,47.88615036010742
1827,0.0,0.0,42.36394119262695
5223,0.002716064453125,0.0,47.48008728027344
6898,0.0,0.0,48.00743103027344
379,0.0,0.0,39.0390739440918
284,9.918212890625e-05,0.15712571144104004,33.03812789916992
4967,0.0,0.0,47.25226211547852
4435,0.009071350097663355,0.3795308470726013,46.31676864624024
2640,0.0,0.0,43.55751037597656
1701,0.0,0.0,42.14046478271485
5171,0.0018577575683664804,0.0,47.35333633422852
4892,0.0,0.0,47.24248504638672
3142,0.0,0.0,43.55751037597656
5405,0.0,0.0,47.88615036010742
3791,0.0,0.0,44.62945938110352
5719,0.0,0.0,47.9422721862793
6194,0.0,0.0,47.9422721862793
3579,0.0,0.0,44.53963851928711
5339,0.00498199462890625,0.0,47.86735534667969
5228,0.00182342529296875,0.0,47.49672317504883
1021,0.0,0.0,39.74504089355469
3886,0.00988388061524148,0.0,44.79674911499024
4844,0.0,0.0,47.17385864257813
6115,0.0,0.0,47.9422721862793
158,9.918212891335543e-05,0.15646003186702728,33.025951385498054
2467,0.0,0.0,43.514896392822266
2329,0.0,0.0,43.47532272338867
5467,0.0,0.0,47.88615036010742
6805,0.0,0.0,48.00743103027344
4204,0.0,0.0,45.6523666381836
2327,0.0,0.0,43.47532272338867
6523,0.0,0.4206247627735138,47.96016311645508
6101,0.0,0.0,47.9422721862793
756,0.0026588439941477304,0.0,39.584808349609375
1931,0.0,0.0,42.381778717041016
2227,0.0,0.0,43.4674072265625
6818,0.0,0.0,48.00743103027344
2137,0.0,0.0,43.2388801574707
329,0.0,0.0,39.03721618652344
137,0.0,0.0,38.98218536376953
5190,2.6702880852269573e-05,0.0,47.38110733032226
2230,0.0,0.0,43.4674072265625
2779,0.0,0.0,43.55751037597656
389,0.000293731689453125,0.4898082613945007,33.05208969116211
1612,0.0006256103515625,0.0,41.58415985107422
3800,0.007278442382805395,0.0,44.63673782348633
2408,0.0,0.0,43.49474716186523
4791,0.002239227294921875,0.0,46.89255905151367
2677,0.0,0.0,43.55751037597656
230,0.0,0.0,39.02373123168945
4332,0.0,0.0,45.75442886352539
79,0.0,0.0,38.96160507202149
589,0.0,0.0,39.07937622070313
624,0.0,0.0,39.13810729980469
719,0.019405364990234375,0.0,39.47018814086914
4847,0.00495529174803977,0.0,47.18033981323242
